807,Aaron Zimmerman,Aaron,Zimmerman,18,Store Temporary Stocker,21,18,1914-02-02 00:00:00.0,1998-01-01 00:00:00.0,9999-09-09 00:00:00,20.0000,749,Bachelors Degree,S,F,Store Temp Staff
570,Abe Tramel,Abe,Tramel,16,Store Temporary Checker,17,16,1914-02-02 00:00:00.0,1996-01-01 00:00:00.0,9999-09-09 00:00:00,20.0000,546,High School Degree,M,M,Store Full Time Staf
525,Abigail Gonzalez,Abigail,Gonzalez,17,Store Permanent Stocker,16,17,1914-02-02 00:00:00.0,1996-01-01 00:00:00.0,9999-09-09 00:00:00,4400.0000,486,Bachelors Degree,M,M,Store Full Time Staf
407,Abraham Swearengin,Abraham,Swearengin,17,Store Permanent Stocker,3,17,1914-02-02 00:00:00.0,1996-01-01 00:00:00.0,9999-09-09 00:00:00,4600.0000,365,Partial College,M,M,Store Full Time Staf
484,Adam Reynolds,Adam,Reynolds,12,Store Assistant Manager,16,11,1932-12-24 00:00:00.0,1997-01-01 00:00:00.0,9999-09-09 00:00:00,13000.0000,32,Bachelors Degree,S,F,Store Management
221,Adria Trujillo,Adria,Trujillo,18,Store Temporary Stocker,24,18,1914-02-02 00:00:00.0,1996-01-01 00:00:00.0,9999-09-09 00:00:00,20.0000,164,Partial High School,M,F,Store Temp Staff
665,A. Joyce Jarvis,A. Joyce,Jarvis,16,Store Temporary Checker,19,16,1914-02-02 00:00:00.0,1998-01-01 00:00:00.0,9999-09-09 00:00:00,20.0000,640,Partial High School,S,F,Store Full Time Staf
375,Alan Monitor,Alan,Monitor,15,Store Permanent Checker,3,15,1914-02-02 00:00:00.0,1996-01-01 00:00:00.0,9999-09-09 00:00:00,6700.0000,364,Bachelors Degree,M,F,Store Full Time Staf
809,Albert Behnke,Albert,Behnke,18,Store Temporary Stocker,21,18,1914-02-02 00:00:00.0,1998-01-01 00:00:00.0,9999-09-09 00:00:00,20.0000,750,High School Degree,S,M,Store Temp Staff
736,Alberto Baltazar,Alberto,Baltazar,16,Store Temporary Checker,9,16,1914-02-02 00:00:00.0,1998-01-01 00:00:00.0,9999-09-09 
